combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,perf_matrix,roc_auc,labeling_cost,training_time_sec,memory_footprint,avg_inference_latency_ms,best_f1_reference,seed
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,B_dd=none_ss=random_mm=spider_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,spider,cndids,pca,B,0.893703649847317,0.8376149914821124,0.9578430608587236,0.9477340949621703,-0.009401860765181846,"[[0.9009657261882218, 0.9082868679100173, 0.909771621115687, 0.9048433048433049, 0.9045581395348837], [0.9156715046849163, 0.919112114371708, 0.9230206619125982, 0.9202817945865776, 0.9210955922365318], [0.8946702800361337, 0.9021638616608102, 0.9042034999097962, 0.9014186977082576, 0.899393506956832], [0.8845593590677348, 0.8877361985920711, 0.8920289855072465, 0.8894582723279648, 0.8892086330935253], [0.8869974646867077, 0.8926784059314179, 0.9017194570135747, 0.8947368421052632, 0.892384697890597]]",0.9356111845857316,0.1000055567462869,50.292017698287964,1000,0.004640818065239911,0.0,42
B_dd=none_ss=random_mm=none_af=cndids_as=pca,B_dd=none_ss=random_mm=none_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,none,cndids,pca,B,0.8894963189736862,0.835535775419377,0.950907815787423,0.9408646715093596,-0.0066038539842518396,"[[0.9009657261882218, 0.9082868679100173, 0.909771621115687, 0.9048433048433049, 0.9045581395348837], [0.901953556948028, 0.9096713615023475, 0.909358879882093, 0.9095636025998142, 0.9083969465648855], [0.8714672861014324, 0.8812230497843984, 0.8813949032381682, 0.8856976518532893, 0.8844029708626928], [0.890003582945181, 0.8897379912663756, 0.8978571428571428, 0.8908076992264796, 0.8948111542534416], [0.8841951930080116, 0.890367905342947, 0.8925649881839666, 0.8892961876832846, 0.8910394265232975]]",0.9217153817482977,0.1000055567462869,42.286237478256226,0,0.0049412102458999884,0.0,42
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,B_dd=none_ss=random_mm=cndids_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,cndids,cndids,pca,B,0.8792324220197081,0.8380057905515147,0.9247253175407153,0.937380116693435,-0.020933849238237295,"[[0.9009657261882218, 0.9082868679100173, 0.909771621115687, 0.9048433048433049, 0.9045581395348837], [0.9095327102803737, 0.9086011160284779, 0.9160760910108168, 0.9136500754147814, 0.9108691640524083], [0.9019028265287272, 0.9104926664159458, 0.9102587630757937, 0.9096318333953142, 0.9075386012715714], [0.8762349559906593, 0.8808955771701229, 0.8872910300197736, 0.878858999819462, 0.8797872340425532], [0.8712541620421754, 0.8747881754848427, 0.8862585537266506, 0.8826483169053375, 0.8811214272710723]]",0.9179880764007342,0.1000055567462869,49.2037832736969,1000,0.004665216204966105,0.0,42
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,none,random,spider,none,none,A,0.8121855025159799,0.9709516583568177,0.6980441050416893,0.9018352270932511,0.02325746512058885,"[[0.7901008249312557, 0.7863487611033193, 0.7965641952983725, 0.8031927023945269, 0.7940780619111709], [0.809039548022599, 0.8075052119527449, 0.818809895252953, 0.819043321299639, 0.8058836639179853], [0.7634285714285713, 0.7671425228176925, 0.7745142340713963, 0.7730089511131514, 0.7744833782569632], [0.7758139534883721, 0.7759771210676836, 0.7835666743171906, 0.7836829836829838, 0.7758186397984886], [0.8081818181818181, 0.8083720930232557, 0.8165733482642777, 0.8157058556513845, 0.8119429590017826]]",0.8488468456622847,0.1000055567462869,93.01631355285645,1000,0.0011062287878194881,0.8441706401113972,42
A_dd=none_ss=random_mm=none_af=gpm_as=none,A_dd=none_ss=random_mm=none_af=gpm_as=none__nsl-kdd,nsl-kdd,none,random,none,gpm,none,A,0.8116859623733719,0.9671300786722707,0.699290890672485,0.9125601497895375,0.015123957599546961,"[[0.7901008249312557, 0.7863487611033193, 0.7965641952983725, 0.8031927023945269, 0.7940780619111709], [0.7993645029505219, 0.7940561876015788, 0.807511737089202, 0.8045454545454545, 0.7964365256124721], [0.7944266788487894, 0.788943546498009, 0.7980139923267885, 0.790590405904059, 0.7931034482758621], [0.804184671366841, 0.7950339657999531, 0.8068283917340521, 0.802014190890364, 0.7930646250844405], [0.807998182231311, 0.8049233627496518, 0.8160714285714286, 0.8156880525957834, 0.8134692069118299]]",0.8588668973768947,0.1000055567462869,57.66157341003418,0,0.001192822618802614,0.8378390106313733,42
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,ssf,random,ssf,none,none,A,0.8111736877675152,0.9615466780602435,0.7014727655263773,0.9056180639181669,0.01717489539565431,"[[0.7901008249312557, 0.7863487611033193, 0.7965641952983725, 0.8031927023945269, 0.7940780619111709], [0.7914951989026063, 0.7928054192945574, 0.8029723035352399, 0.806282722513089, 0.7917228969860549], [0.7860582435221279, 0.780683156654888, 0.792845822956758, 0.7942122186495176, 0.7855530474040633], [0.7884275618374559, 0.7886363636363636, 0.7990357221126453, 0.7993779160186626, 0.793352285151979], [0.8036240090600226, 0.8061012248671134, 0.818302976454909, 0.8158013544018058, 0.811767308117673]]",0.8623825374005398,0.1000055567462869,75.22194480895996,700,0.001121119373313411,0.8362083986757275,42
A_dd=none_ss=random_mm=spider_af=gpm_as=none,A_dd=none_ss=random_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,none,random,spider,gpm,none,A,0.8097169641247521,0.9602351683591662,0.6999922075898075,0.8940928614231058,0.017328242494484142,"[[0.7901008249312557, 0.7863487611033193, 0.7965641952983725, 0.8031927023945269, 0.7940780619111709], [0.7984478429582287, 0.7930792611643676, 0.8058361391694725, 0.8039305301645339, 0.7965077233042311], [0.7944954128440367, 0.7831837505904582, 0.8026196928635954, 0.7957632972599586, 0.7924273157538878], [0.7790106333795654, 0.7708779443254817, 0.7817559863169898, 0.7832752613240417, 0.7736794171220401], [0.8071283555154523, 0.8010180472003702, 0.8153263533080863, 0.8149152542372881, 0.8099136977207347]]",0.8217676826144829,0.1000055567462869,60.47657299041748,1000,0.001127485944668057,0.8390605894506051,42
A_dd=none_ss=random_mm=ssf_af=none_as=none,A_dd=none_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,none,random,ssf,none,none,A,0.8058028652777149,0.9592210027975038,0.6946933686589262,0.8920781348897826,0.016507597887148368,"[[0.7901008249312557, 0.7863487611033193, 0.7965641952983725, 0.8031927023945269, 0.7940780619111709], [0.7914951989026063, 0.7928054192945574, 0.8029723035352399, 0.806282722513089, 0.7917228969860549], [0.7761534947464596, 0.7772069126576365, 0.7863902658855341, 0.7904, 0.7792032410533424], [0.7732675487777528, 0.7818515123739689, 0.7934686672550751, 0.7871431782423017, 0.782647189021691], [0.7981859410430839, 0.7981416957026713, 0.8136424431564869, 0.8125000000000001, 0.8062084257206209]]",0.8328329411972017,0.1000055567462869,84.4011218547821,1000,0.0010936014021094426,0.8207654414550968,42
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,ssf,random,ssf,gpm,none,A,0.8058002439354925,0.9586199484092863,0.6950050650666251,0.9002881980207964,0.01990610438435994,"[[0.7901008249312557, 0.7863487611033193, 0.7965641952983725, 0.8031927023945269, 0.7940780619111709], [0.7798042704626335, 0.7756410256410257, 0.7934138309549944, 0.787567084078712, 0.7814423922603342], [0.7773062318516863, 0.772002772002772, 0.7897413221313287, 0.7809824245155476, 0.7795484727755644], [0.780053428317008, 0.7841530054644809, 0.796851082440411, 0.7897206703910614, 0.7858709960508995], [0.8008166969147005, 0.8012953967152441, 0.8135593220338982, 0.8091568449682685, 0.8039911308203991]]",0.8401317157249482,0.1000055567462869,55.94693684577942,700,0.001268745568561757,0.8462869928652847,42
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,cade,random,spider,none,none,A,0.8048458350412169,0.968434896975011,0.6885373646068729,0.9252463756105012,0.010665119652745886,"[[0.7702766057196436, 0.7778042391045488, 0.7840699815837936, 0.7868548947003009, 0.7755102040816326], [0.7947537965945698, 0.7998126902364786, 0.8058823529411764, 0.8077537058152794, 0.7957571654254119], [0.8031963470319635, 0.8013105546454481, 0.809287646528404, 0.8072976054732042, 0.802604985403099], [0.7838402600417925, 0.7918829636621046, 0.8017260958437429, 0.7989868754317292, 0.7887451781257091], [0.7955066483264558, 0.7989702784928621, 0.8136353442475892, 0.8129120254603319, 0.8028673835125449]]",0.903563258703292,0.1000055567462869,92.56011700630188,1000,0.0010859022925642891,0.8531473949254309,42
