combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__cicids2018,cicids2018,cade,random,ssf,none,none,A,0.9370041598645861,0.9888436845749498,0.8903291968541116,0.9462113347972982
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__cicids2018,cicids2018,cade,random,spider,none,none,A,0.9367510696581554,0.9871779680062108,0.8912255979696331,0.945829629344763
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__cicids2018,cicids2018,cade,random,none,none,none,A,0.9356743509228767,0.9727145336709183,0.9013516105708932,0.9456685924116119
A_dd=none_ss=random_mm=ssf_af=none_as=none,A_dd=none_ss=random_mm=ssf_af=none_as=none__cicids2018,cicids2018,none,random,ssf,none,none,A,0.9356615062565417,0.994017094017094,0.8837777220344986,0.944900044309045
A_dd=none_ss=random_mm=none_af=none_as=none,A_dd=none_ss=random_mm=none_af=none_as=none__cicids2018,cicids2018,none,random,none,none,none,A,0.9353188108941659,0.9904169690572013,0.8860279470570008,0.9452678994982961
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__cicids2018,cicids2018,none,random,spider,none,none,A,0.9330493272671088,0.9859853199101286,0.8855078130763896,0.9439511628394543
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__cicids2018,cicids2018,ssf,random,ssf,none,none,A,0.9329734889640827,0.9840662399109379,0.8869243481725222,0.9423476481247228
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none__cicids2018,cicids2018,none,random,ssf,lwf_ssf,none,A,0.931109356111248,0.9822163270820284,0.8850577680718892,0.9379417947955391
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none__cicids2018,cicids2018,none,random,spider,lwf_ssf,none,A,0.9300863733874277,0.9836637471768438,0.882043942099128,0.9383590130559927
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,random,none,lwf_ssf,none,A,0.9180354824585724,0.9529243654117133,0.885611102093816,0.9425535585706496
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,random,ssf,lwf_ssf,none,A,0.9177525613852522,0.9531309599491418,0.8849065234392292,0.9427206131732727
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,random,spider,lwf_ssf,none,A,0.9177260109923117,0.9531721274016969,0.8848216788892004,0.9422722719629899
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none__cicids2018,cicids2018,ssf,random,ssf,lwf_ssf,none,A,0.9143562338834696,0.9451098040142049,0.8855410131177052,0.9379852689372923
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none__cicids2018,cicids2018,none,random,none,lwf_ssf,none,A,0.9143117176879166,0.944825713633609,0.8857070133242833,0.9386208017091939
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A_dd=cade_ss=random_mm=spider_af=gpm_as=none__cicids2018,cicids2018,cade,random,spider,gpm,none,A,0.8701134838002288,0.8664296504376388,0.873828776320255,0.8742631465899435
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A_dd=cade_ss=random_mm=ssf_af=gpm_as=none__cicids2018,cicids2018,cade,random,ssf,gpm,none,A,0.8373210833436796,0.806368412781919,0.8707448613713831,0.8463796028157109
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,cade,random,ssf,lwf_ssf,cade_mad,A,0.7885176491946988,0.703306267855697,0.8972237387673193,0.718920477314663
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A_dd=cade_ss=random_mm=none_af=gpm_as=none__cicids2018,cicids2018,cade,random,none,gpm,none,A,0.7849183686731421,0.8144350750826981,0.757466320402532,0.8434496981378693
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none__cicids2018,cicids2018,ssf,random,ssf,gpm,none,A,0.7723454556511692,0.7965293130752465,0.7495868439302946,0.783452083055732
A_dd=none_ss=random_mm=none_af=gpm_as=none,A_dd=none_ss=random_mm=none_af=gpm_as=none__cicids2018,cicids2018,none,random,none,gpm,none,A,0.7688498140406235,0.6870370209046586,0.8727811305720736,0.6392425184215085
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,cade,random,spider,lwf_ssf,cade_mad,A,0.7394457020716277,0.6239808214312895,0.9073460624751,0.7425907309455376
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,cade,random,none,lwf_ssf,cade_mad,A,0.7383450155470062,0.6238006671229496,0.9044170810523675,0.6509748816293438
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,none,random,none,lwf_ssf,cade_mad,A,0.6820429690046166,0.5537187610725346,0.887787549246728,0.45967895818658716
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,ssf,random,ssf,lwf_ssf,cade_mad,A,0.679754486381312,0.5521460661214146,0.884076522406339,0.4512765349082211
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad__cicids2018,cicids2018,none,random,ssf,none,cade_mad,A,0.6717736941044935,0.5343643735286424,0.9043137920349412,0.41397169310529713
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad__cicids2018,cicids2018,cade,random,ssf,none,cade_mad,A,0.6686469961165497,0.5283179608585183,0.9104853108261646,0.45353972329074604
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,none,random,ssf,lwf_ssf,cade_mad,A,0.6667497471774113,0.5450034423488528,0.8585346239541987,0.443166720970488
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,none,random,spider,lwf_ssf,cade_mad,A,0.6593885165644754,0.5519290637650311,0.8188089300733352,0.4428647635281753
A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad__cicids2018,cicids2018,cade,random,spider,none,cade_mad,A,0.6164560908988861,0.4656765017354895,0.9116288678048132,0.45424422270880216
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,A_dd=cade_ss=random_mm=none_af=none_as=cade_mad__cicids2018,cicids2018,cade,random,none,none,cade_mad,A,0.603017780948407,0.45116719369977243,0.9089433533517286,0.4848848822613856
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,A_dd=none_ss=random_mm=spider_af=none_as=cade_mad__cicids2018,cicids2018,none,random,spider,none,cade_mad,A,0.5834882869302123,0.4298353287924053,0.9081096634253589,0.49975982306835914
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad__cicids2018,cicids2018,ssf,random,ssf,none,cade_mad,A,0.5449810798714245,0.3928576084264317,0.8893627067624795,0.363998031032103
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,A_dd=none_ss=random_mm=none_af=none_as=cade_mad__cicids2018,cicids2018,none,random,none,none,cade_mad,A,0.5156878097521144,0.3603787036412232,0.9062430833247259,0.4996939529400847
A_dd=none_ss=ssf_mm=ssf_af=none_as=none,A_dd=none_ss=ssf_mm=ssf_af=none_as=none__cicids2018,cicids2018,none,ssf,ssf,none,none,A,0.4819575852807774,0.9845983972315818,0.31907084151038057,0.4583181327660775
A_dd=none_ss=ssf_mm=spider_af=none_as=none,A_dd=none_ss=ssf_mm=spider_af=none_as=none__cicids2018,cicids2018,none,ssf,spider,none,none,A,0.48116229577246233,0.9669332204748964,0.3202660429977424,0.45014747467048105
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none__cicids2018,cicids2018,none,ssf,ssf,lwf_ssf,none,A,0.4787699526862112,0.971469506554455,0.317661684201207,0.43029862719861806
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=none__cicids2018,cicids2018,none,ssf,spider,lwf_ssf,none,A,0.47790679258808527,0.9682289497089718,0.3172485281315017,0.42919373145713374
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,ssf,ssf,lwf_ssf,none,A,0.468385877933452,0.9010062179648769,0.31644434935296806,0.4152595289467196
A_dd=none_ss=ssf_mm=none_af=none_as=none,A_dd=none_ss=ssf_mm=none_af=none_as=none__cicids2018,cicids2018,none,ssf,none,none,none,A,0.4641148070100563,0.8380633104059496,0.320918977143616,0.44274158130902314
A_dd=cade_ss=ssf_mm=none_af=none_as=none,A_dd=cade_ss=ssf_mm=none_af=none_as=none__cicids2018,cicids2018,cade,ssf,none,none,none,A,0.4571761415366371,0.791679918580243,0.3213837777220345,0.4437626411525297
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,ssf,none,lwf_ssf,none,A,0.4549793864323322,0.8034838649418578,0.31733706157500996,0.446058184241268
