combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,lwf_ssf,none,A,0.8859449096962971,0.8163747257242738,0.9684770140298244,0.9747936485147559
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A_dd=cade_ss=random_mm=none_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,none,gpm,none,A,0.8851322761983439,0.8145744483589838,0.9690726197829348,0.9755191196563477
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,spider,none,none,A,0.884960981275087,0.8221898307651535,0.9581090620312362,0.9642573166524946
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,none,random,spider,none,none,A,0.8811235477902145,0.8133808732662547,0.9611753286861379,0.9696266214651436
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,none,none,A,0.8806452587378788,0.8101228300942994,0.9646166063707756,0.9719123733563524
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,none,none,none,A,0.879325849508432,0.8112496970374927,0.95987381981823,0.9669738035655802
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,none,lwf_ssf,none,A,0.8790642623407368,0.8004310891340181,0.9748301420630019,0.9749705879820811
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,none,A,0.8788194547818234,0.7987372598538829,0.9767493161563575,0.9719734870995209
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,ssf,lwf_ssf,none,A,0.8787171258532125,0.7994106694144657,0.9754919262331245,0.9750539288925778
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,cade_mad,A,0.8784887796022015,0.9167805837350409,0.8432674490426189,0.9512244303594868
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A_dd=cade_ss=random_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,spider,gpm,none,A,0.8776514848315056,0.8030835713762543,0.9674843377746404,0.9751560764279027
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,ssf,gpm,cade_mad,A,0.877638775814423,0.9138429209351195,0.8441939468807906,0.9587794819906343
