스모크 테스트를 통과한 63/63개 조합만 실행합니다.
[nsl-kdd] A_dd=none_ss=random_mm=none_af=none_as=cade_mad f1=0.922 pr_auc=0.984 bwt=0.003 (5.0s)
[nsl-kdd] A_dd=none_ss=random_mm=fifo_af=none_as=cade_mad f1=0.941 pr_auc=0.989 bwt=0.011 (3.4s)
[nsl-kdd] A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad f1=0.940 pr_auc=0.984 bwt=0.015 (3.1s)
[nsl-kdd] A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad f1=0.912 pr_auc=0.969 bwt=0.009 (6.4s)
[nsl-kdd] A_dd=none_ss=ssf_mm=fifo_af=none_as=cade_mad f1=0.872 pr_auc=0.952 bwt=-0.004 (7.5s)
[nsl-kdd] A_dd=none_ss=ssf_mm=ssf_af=none_as=cade_mad f1=0.848 pr_auc=0.961 bwt=-0.020 (7.2s)
[nsl-kdd] A_dd=ssf_ss=random_mm=none_af=none_as=cade_mad f1=0.922 pr_auc=0.984 bwt=0.003 (2.2s)
[nsl-kdd] A_dd=ssf_ss=random_mm=fifo_af=none_as=cade_mad f1=0.941 pr_auc=0.989 bwt=0.011 (2.8s)
[nsl-kdd] A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad f1=0.940 pr_auc=0.984 bwt=0.015 (2.8s)
[nsl-kdd] A_dd=ssf_ss=ssf_mm=none_af=none_as=cade_mad f1=0.912 pr_auc=0.969 bwt=0.009 (6.0s)
[nsl-kdd] A_dd=ssf_ss=ssf_mm=fifo_af=none_as=cade_mad f1=0.872 pr_auc=0.952 bwt=-0.004 (6.7s)
[nsl-kdd] A_dd=ssf_ss=ssf_mm=ssf_af=none_as=cade_mad f1=0.848 pr_auc=0.961 bwt=-0.020 (6.6s)
[nsl-kdd] A_dd=cade_ss=random_mm=none_af=none_as=cade_mad f1=0.932 pr_auc=0.983 bwt=0.015 (2.3s)
[nsl-kdd] A_dd=cade_ss=random_mm=fifo_af=none_as=cade_mad f1=0.926 pr_auc=0.987 bwt=0.002 (3.2s)
[nsl-kdd] A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad f1=0.940 pr_auc=0.983 bwt=0.022 (3.1s)
[nsl-kdd] A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad f1=0.895 pr_auc=0.968 bwt=0.001 (5.0s)
[nsl-kdd] A_dd=cade_ss=ssf_mm=fifo_af=none_as=cade_mad f1=0.886 pr_auc=0.953 bwt=-0.003 (6.7s)
