combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,perf_matrix,roc_auc,labeling_cost,training_time_sec,memory_footprint,avg_inference_latency_ms,best_f1_reference,seed
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,none,none,A,0.8988674245212582,0.8588653764996684,0.9427777287567282,0.957038293389303,0.018426125955734673,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8870387501284819, 0.8860864601172869, 0.887941221805477, 0.8798202528999896, 0.8855331649744884], [0.879563492063492, 0.8801042136379579, 0.8781479278207416, 0.8731827556718145, 0.872588782273222], [0.8770800864712684, 0.881073388900183, 0.8766654934888631, 0.8720698636433277, 0.8746792775569754], [0.9005060781551625, 0.899603489294211, 0.898758707379668, 0.8951338716532087, 0.9002828113543522]]",0.9575738026476137,0.10000513285540746,136.75836396217346,1000,0.0003124096532237024,0.9012078775558495,42
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A_dd=cade_ss=random_mm=ssf_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,gpm,none,A,0.8983603066439523,0.8682596525891166,0.9306229594988088,0.9686328640642851,0.0217465754695024,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8771963981504015, 0.8758427242753802, 0.8740192017154831, 0.867482966327639, 0.870997521986298], [0.8794523266197043, 0.8809822099724379, 0.8760978514365108, 0.8735597484276729, 0.8737238576667659], [0.8778610492201742, 0.8802046035805626, 0.8762619856932676, 0.8708418891170431, 0.8723726758286175], [0.9000845844787481, 0.9019712591484588, 0.8978834014110656, 0.8938229127466265, 0.8979981946583125]]",0.9627776727137443,0.10000513285540746,106.57253193855286,1000,0.0002689028668900548,0.9000529277697965,42
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,none,none,none,A,0.8961479825185485,0.8309020317388518,0.9725138974675726,0.9579479684475531,0.01848970357111418,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8844653396018806, 0.8843881004091116, 0.88593288993349, 0.8748603351955307, 0.8797237098953902], [0.8787398454527442, 0.876873288523774, 0.8762356662712535, 0.8720755095893162, 0.8728959968409102], [0.8745299821887987, 0.8751435275323249, 0.8722153618177327, 0.8673249461179892, 0.8711825941092309], [0.8991057444551104, 0.8993865030674847, 0.8960809102402021, 0.8913277603979691, 0.8948034205333198]]",0.9608584604634636,0.10000513285540746,90.44094395637512,0,0.0003069799923893315,0.9100431432312348,42
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A_dd=cade_ss=random_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,spider,gpm,none,A,0.8924596507306145,0.8288162199988652,0.9666901967704933,0.9730414961795313,0.01915096633601851,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8657642136352448, 0.8639928521790926, 0.863059517953763, 0.859437350359138, 0.8610146274644097], [0.873663134248181, 0.8733435144588403, 0.8712823013164309, 0.8671099642715363, 0.8684531654219748], [0.8798641290773765, 0.8807700060471678, 0.8793887029915597, 0.8737225538804009, 0.8769845232151773], [0.8958111735805097, 0.8937062221994989, 0.8910058272105397, 0.8890717408074055, 0.8926633879227297]]",0.9675265858375803,0.10000513285540746,113.3432309627533,1000,0.0002849601838642345,0.9063484134396108,42
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,none,A,0.8868229914823881,0.8189716378311722,0.9669328509662048,0.9691239638498069,0.0025194088346267574,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8882565170994462, 0.8898474811277153, 0.8867149880886006, 0.8802179724449928, 0.8819951338199513], [0.8886637625367237, 0.8882973277362547, 0.8866626189030561, 0.8790859719233527, 0.8821269712899313], [0.888496646326088, 0.8874057468921948, 0.8868190514550398, 0.8785113433596737, 0.8823410899566837], [0.8904910759302207, 0.8897826197627654, 0.8883297267374567, 0.8804890473764646, 0.8849869188971625]]",0.9641107576295964,0.10000513285540746,153.37144565582275,1000,0.0002961814829219345,0.8982074122951721,42
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,spider,none,none,A,0.8840962143509591,0.8187337869844731,0.9608003176564016,0.9577321531311499,0.0068947355058835424,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8761708596930018, 0.8750371029979223, 0.8719583987441131, 0.8684537723180982, 0.8701616854483096], [0.8860305115166018, 0.8833274585830101, 0.8806744487678341, 0.8783770110290398, 0.8785465405674465], [0.8747606657175119, 0.8751551253412758, 0.8746622119589249, 0.8699081469648562, 0.8713163064833006], [0.8859290651329398, 0.8870918523039365, 0.8840191870739712, 0.8801519273212545, 0.8832430791031937]]",0.9589358930866807,0.10000513285540746,145.2370936870575,1000,0.0002948986350554671,0.9034688466637207,42
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,none,random,spider,none,none,A,0.8812019566736548,0.8048251212662753,0.9735948116121063,0.9490914449168304,0.0005916236993346868,"[[0.8742490787016002, 0.87552461869178, 0.872624055958234, 0.8702941781526435, 0.8719586374695864], [0.8873919163482809, 0.8855761892648181, 0.8849192371559401, 0.8800450727309977, 0.8823736839453932], [0.890198668766831, 0.8922728675789691, 0.8888096935138987, 0.8866256526908959, 0.8858127978906806], [0.8862318468722739, 0.885200124107974, 0.884924083635806, 0.878053840966855, 0.8819888485344518], [0.8847491306507701, 0.8826922112442951, 0.8839219192370735, 0.877692036112372, 0.8769177300034755]]",0.9547944862050791,0.10000513285540746,145.50251054763794,1000,0.00029993156867154006,0.9027585076746598,42
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,spider,lwf_ssf,none,A,0.8803956285487514,0.8171206225680934,0.9542927733168622,0.9697097098239897,0.0032690210666810604,"[[0.8742490787016002, 0.87552461869178, 0.872624055958234, 0.8702941781526435, 0.8719586374695864], [0.877448011306279, 0.878688524590164, 0.8751710506309868, 0.872977554060301, 0.8747404143240642], [0.8810429665702836, 0.8812528978414301, 0.8782971789387921, 0.8757812096482619, 0.8779469423086715], [0.8837729328657824, 0.8823013868123938, 0.8816754993885039, 0.8772746071133168, 0.8815702268671934], [0.8821956510771404, 0.8830849592871408, 0.879570001521221, 0.8767348617250952, 0.880360488076553]]",0.9621048707314921,0.10000513285540746,161.34595680236816,1000,0.0003059867264340305,0.8966813052420924,42
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,spider,lwf_ssf,none,A,0.8795008345918448,0.800130161255333,0.9763522456542839,0.9703364627847656,-0.0002589362498750525,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8820420779738758, 0.8837420526793823, 0.8817333133642854, 0.8751896429655102, 0.8764594351861092], [0.880940618515957, 0.8819416699960047, 0.8809570891833102, 0.8750689050363317, 0.8755810503412125], [0.8791923171632603, 0.8804537087707079, 0.8797555686970235, 0.8733393267405852, 0.8740945153501207], [0.881771451166469, 0.882288338658147, 0.8817044836620693, 0.8752318411950474, 0.8764723349500148]]",0.9660013307227637,0.10000513285540746,160.8021924495697,1000,0.00030028485860316307,0.9058989693906827,42
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,none,lwf_ssf,none,A,0.8780685858015707,0.7966613358250526,0.9780067060795906,0.9697748958580201,-0.002570565050452861,"[[0.8839933910779553, 0.8858502987946926, 0.8831689118133106, 0.8772090188909201, 0.8776113421171284], [0.8844960464417976, 0.8862899959497773, 0.8838419209604802, 0.8778606586492109, 0.878581446603887], [0.8829760779827919, 0.8841819279533105, 0.8823295171727227, 0.8754599062547251, 0.8771021992238034], [0.8791598875905932, 0.8800518263816216, 0.8789237668161434, 0.8718871887188719, 0.8741244944263589], [0.8801219932116681, 0.8806617170760874, 0.879590430245151, 0.8738436921846092, 0.8760852407261247]]",0.9650657724034808,0.10000513285540746,106.93926334381104,0,0.0002918985664557827,0.9022273552219107,42
