combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,perf_matrix,roc_auc,labeling_cost,training_time_sec,memory_footprint,avg_inference_latency_ms,best_f1_reference,seed
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__cicids2018,cicids2018,cade,random,ssf,none,none,A,0.9370041598645861,0.9888436845749498,0.8903291968541116,0.9462113347972982,0.005608728572806587,"[[0.9165559114595784, 0.9157534311902105, 0.9162926605679799, 0.9165712977798122, 0.9185841551140966], [0.9347504137991114, 0.935163613514428, 0.9346505147457234, 0.9352511036194856, 0.9362203052934251], [0.9349938362081517, 0.9353186536036473, 0.9352325321896741, 0.9358084528887165, 0.9362056123584093], [0.9372972024905727, 0.9374604688275417, 0.9369260582925143, 0.9377837843093407, 0.9383737185461324], [0.9364630412596588, 0.9369864610244556, 0.9364959107951123, 0.9372253426850208, 0.9378467616216581]]",0.9757144889259864,0.09999998965264016,3099.6259610652924,1000,0.001582509831661286,0.9379560621179993,42
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__cicids2018,cicids2018,cade,random,spider,none,none,A,0.9367510696581554,0.9871779680062108,0.8912255979696331,0.945829629344763,0.01487216446864123,"[[0.9165559114595784, 0.9157534311902105, 0.9162926605679799, 0.9165712977798122, 0.9185841551140966], [0.9157278224846435, 0.9154616451631293, 0.9152281222358548, 0.9162178847889062, 0.9179122903648554], [0.9186885433887259, 0.9181024624533048, 0.9180296600066757, 0.919222923379025, 0.9207231737387778], [0.9356347829477009, 0.9357796379209656, 0.9353767660146247, 0.9364877090244068, 0.93711467324291], [0.9362660840009712, 0.9362622022742035, 0.9361491695028653, 0.9373461277503151, 0.9377285125645639]]",0.9751724123367619,0.09999998965264016,3144.6403250694275,1000,0.0013842415459909714,0.9374986614226886,42
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__cicids2018,cicids2018,cade,random,none,none,none,A,0.9356743509228767,0.9727145336709183,0.9013516105708932,0.9456685924116119,0.008683164473842986,"[[0.9165559114595784, 0.9157534311902105, 0.9162926605679799, 0.9165712977798122, 0.9185841551140966], [0.9171235597934049, 0.9176078283479883, 0.9173063745692522, 0.9181877638385159, 0.9186250334234529], [0.9355813862776456, 0.9360844809966422, 0.9353311380862381, 0.9368201895199736, 0.9374502069447953], [0.9367544320547999, 0.9369884320015553, 0.9364387824564815, 0.9372572627000155, 0.9377587728229144], [0.9351209828236039, 0.9352223232661657, 0.935055979619396, 0.9360855127800266, 0.936883553788516]]",0.9746639789771255,0.09999998965264016,1593.6333215236664,0,0.0012163029281963818,0.9368048366954944,42
A_dd=none_ss=random_mm=ssf_af=none_as=none,A_dd=none_ss=random_mm=ssf_af=none_as=none__cicids2018,cicids2018,none,random,ssf,none,none,A,0.9356615062565417,0.994017094017094,0.8837777220344986,0.944900044309045,0.0069063168304740186,"[[0.9295829329606227, 0.9292919505033963, 0.9294842559798168, 0.9301239377113675, 0.930525867822151], [0.9339188176073685, 0.9340189350492816, 0.9341611038670378, 0.9348155634158666, 0.935268550139708], [0.915638406925092, 0.9149819049964947, 0.9156178571089847, 0.9158352519826042, 0.9175188489154188], [0.9337919680131711, 0.9344398665113867, 0.9340189021105726, 0.9349221256946075, 0.935431902283756], [0.9349613365528432, 0.9357072398941313, 0.935344869702862, 0.935753671985556, 0.9365376369235567]]",0.9743998331610947,0.09999998965264016,2705.304888010025,1000,0.001397220126319684,0.935908482557174,42
A_dd=none_ss=random_mm=none_af=none_as=none,A_dd=none_ss=random_mm=none_af=none_as=none__cicids2018,cicids2018,none,random,none,none,none,A,0.9353188108941659,0.9904169690572013,0.8860279470570008,0.9452678994982961,0.006555266681626648,"[[0.9295829329606227, 0.9292919505033963, 0.9294842559798168, 0.9301239377113675, 0.930525867822151], [0.9317634725889113, 0.9316260856079405, 0.9316009586927623, 0.932753072539061, 0.933009586642547], [0.9171414959504526, 0.9164939633044966, 0.9172197727900355, 0.9171475562569519, 0.9187521361029887], [0.9340823896724184, 0.9345989911234507, 0.9345084957985659, 0.9353849159828058, 0.9360465116279069], [0.9344354980211725, 0.9350290188135395, 0.9349234651622772, 0.9356467920709218, 0.9365551280556527]]",0.974832112886665,0.09999998965264016,1920.53258395195,0,0.0014700979109825013,0.9358678370385997,42
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__cicids2018,cicids2018,none,random,spider,none,none,A,0.9330493272671088,0.9859853199101286,0.8855078130763896,0.9439511628394543,0.004695969753424262,"[[0.9295829329606227, 0.9292919505033963, 0.9294842559798168, 0.9301239377113675, 0.930525867822151], [0.9182550412247463, 0.9174090606895242, 0.9180596120365703, 0.9183481442760063, 0.9200018981635268], [0.9304663664099955, 0.9311272896255276, 0.9303136225877978, 0.9310551558752999, 0.9322634531637747], [0.9341242827968492, 0.9344866125662084, 0.9339437413736125, 0.934976947342878, 0.9352630966691226], [0.9321958052842523, 0.933070138760587, 0.9324697553195628, 0.9333307432301177, 0.93417633140685]]",0.973512311398993,0.09999998965264016,2638.963158607483,1000,0.001208390180198038,0.9341845188202959,42
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__cicids2018,cicids2018,ssf,random,ssf,none,none,A,0.9329734889640827,0.9840662399109379,0.8869243481725222,0.9423476481247228,-0.0008490800914617014,"[[0.9295829329606227, 0.9292919505033963, 0.9294842559798168, 0.9301239377113675, 0.930525867822151], [0.9339188176073685, 0.9340189350492816, 0.9341611038670378, 0.9348155634158666, 0.935268550139708], [0.934524969786753, 0.935074038377289, 0.9349090519383093, 0.9355943416418578, 0.9360606855289102], [0.9345371138548632, 0.9347493545086959, 0.9344622077428039, 0.9353415102243611, 0.9365347959699692], [0.932271380700306, 0.9326554571298281, 0.932396362118668, 0.9331329098579256, 0.9344078106233775]]",0.9736093980859517,0.09999998965264016,3345.1691970825195,700,0.001623885137609076,0.934371884201058,42
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none__cicids2018,cicids2018,none,random,ssf,lwf_ssf,none,A,0.931109356111248,0.9822163270820284,0.8850577680718892,0.9379417947955391,0.009163624625433464,"[[0.9295829329606227, 0.9292919505033963, 0.9294842559798168, 0.9301239377113675, 0.930525867822151], [0.9136761904761904, 0.9123346720976823, 0.9131824842521932, 0.913520190023753, 0.9148209303649717], [0.9139652656576351, 0.9129000047548856, 0.913841404150706, 0.9140687450039968, 0.915366996455013], [0.9302926658634225, 0.9302266929217875, 0.9305668881377006, 0.9310505383645359, 0.9316500793865934], [0.9304937527932688, 0.9305799392804835, 0.9309983099248209, 0.9313920440767074, 0.9320798195249944]]",0.9722560062111142,0.09999998965264016,3117.184113740921,1000,0.0013899118915061588,0.9321043471497049,42
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none__cicids2018,cicids2018,none,random,spider,lwf_ssf,none,A,0.9300863733874277,0.9836637471768438,0.882043942099128,0.9383590130559927,0.004351329447977809,"[[0.9295829329606227, 0.9292919505033963, 0.9294842559798168, 0.9301239377113675, 0.930525867822151], [0.9140458015267177, 0.912753465977753, 0.913668310080772, 0.9140311125497439, 0.9152964671199657], [0.9292294522213682, 0.9293421781062732, 0.9295191035717064, 0.9301534874684281, 0.9305544784800309], [0.9295201371036846, 0.9294950319858446, 0.9298426668743672, 0.9301520631587136, 0.9308314009333734], [0.929512458738644, 0.9296659277408313, 0.9299178252911167, 0.9303166716901149, 0.9310160791049267]]",0.9726228961140191,0.09999998965264016,3402.446553468704,1000,0.001498278922298279,0.9311243092737675,42
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,random,none,lwf_ssf,none,A,0.9180354824585724,0.9529243654117133,0.885611102093816,0.9425535585706496,0.0010622797321186983,"[[0.9165559114595784, 0.9157534311902105, 0.9162926605679799, 0.9165712977798122, 0.9185841551140966], [0.9167759160199423, 0.9160446692755561, 0.9164811009700387, 0.916604630743095, 0.9188096532128112], [0.9168701581008744, 0.9160801092572608, 0.9165893548849886, 0.9164995511755382, 0.9187327692293016], [0.9173865573582086, 0.9165958178500807, 0.9172502200283167, 0.9170964660936007, 0.9192789594724838], [0.9179517633761805, 0.9171905153142137, 0.9175342570619307, 0.9178589848898737, 0.9196398735929578]]",0.9740028575017812,0.09999998965264016,1956.8080840110779,0,0.001176871419296348,0.9345113330757191,42
