combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,perf_matrix,roc_auc,labeling_cost,training_time_sec,memory_footprint,memory_footprint_peak,memory_footprint_avg,avg_inference_latency_ms,best_f1_reference,seed,code_version,drift_detected_per_round,drift_score_per_round,n_drift_detected,per_category_final,per_category_recall_history,normal_fpr,normal_fpr_history,is_no_cl_baseline,f1_delta_vs_no_cl,pr_auc_delta_vs_no_cl,bwt_delta_vs_no_cl
B_dd=none_ss=random_mm=spider_af=cndids_as=cade_mad,B_dd=none_ss=random_mm=spider_af=cndids_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,cndids,cade_mad,B,0.9137891255864031,0.9019965080088059,0.9258941790695863,0.9419375511671554,0.00907069002296429,"[[0.9267786766231072, 0.9207048458149779, 0.41274817136886105, 0.5251908396946565, 0.0], [0.9467631739159844, 0.9418876755070203, 0.4574898785425101, 0.4891461649782924, 0.0], [0.9409053944158309, 0.9439562585432533, 0.8943266267899221, 0.5126760563380282, 0.0], [0.9450579229049522, 0.9413616686343959, 0.8311188137877912, 0.5490753911806544, 0.0], [0.9436128767685052, 0.948429164196799, 0.8875301093199927, 0.5687789799072643, 0.0]]",0.9367222710622023,0.0,643.8856608867645,1000,1000,1000.0,0.002094591399978627,,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8986323411102172, 'recall_final': 0.9255832662912309, 'forgetting': -0.02695092518101372}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.9975216852540273, 'recall_final': 0.9913258983890955, 'forgetting': 0.006195786864931829}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.8957879448075526, 'recall_final': 0.8696441539578794, 'forgetting': 0.02614379084967322}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.965, 'recall_final': 0.92, 'forgetting': 0.04499999999999993}}","{'DoS': [0.8986323411102172, 0.938321265754894, 0.9308125502815768, 0.9352373290426388, 0.9255832662912309], 'Probe': [0.9496076001652209, 0.9975216852540273, 0.9983477901693515, 0.9880214787277984, 0.9913258983890955], 'R2L': [0.28685548293391433, 0.3282498184458969, 0.8957879448075526, 0.7835875090777051, 0.8696441539578794], 'U2R': [0.86, 0.845, 0.91, 0.965, 0.92]}",0.13294202450828957,"[0.15034496962207805, 0.16074554628771495, 0.1661002986304191, 0.1560086499845536, 0.13294202450828957]",False,0.49468903375903855,0.03156891065173795,0.39271918275910384
B_dd=none_ss=random_mm=cndids_af=cndids_as=cade_mad,B_dd=none_ss=random_mm=cndids_af=cndids_as=cade_mad__nsl-kdd,nsl-kdd,none,random,cndids,cndids,cade_mad,B,0.9041085477556915,0.8824751446802196,0.926829268292683,0.9404763209532555,0.0006267028463507462,"[[0.9267786766231072, 0.9207048458149779, 0.41274817136886105, 0.5251908396946565, 0.0], [0.9478420944978523, 0.955318307631475, 0.5454986653724824, 0.5575364667747164, 0.0], [0.9465771812080536, 0.9291642540050183, 0.8774774774774774, 0.4949238578680203, 0.0], [0.9477596810164224, 0.9415673246042602, 0.8398251947558426, 0.5379113018597997, 0.0], [0.9448925642242256, 0.9297658862876254, 0.8737075332348597, 0.5516265912305516, 0.0]]",0.9440026017069013,0.0,635.0702471733093,1000,1000,1000.0,0.0022412975093335273,,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8986323411102172, 'recall_final': 0.9345669080182355, 'forgetting': -0.03593456690801833}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.9979347377116894, 'recall_final': 0.9760429574555969, 'forgetting': 0.021891780256092508}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.884168482207698, 'recall_final': 0.8591140159767611, 'forgetting': 0.025054466230936878}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.94, 'recall_final': 0.975, 'forgetting': -0.03500000000000003}}","{'DoS': [0.8986323411102172, 0.9320193081255028, 0.94556181281845, 0.9401984446232234, 0.9345669080182355], 'Probe': [0.9496076001652209, 0.9979347377116894, 0.9942172655927303, 0.9950433705080545, 0.9760429574555969], 'R2L': [0.28685548293391433, 0.4081336238198983, 0.884168482207698, 0.8024691358024691, 0.8591140159767611], 'U2R': [0.86, 0.86, 0.975, 0.94, 0.975]}",0.16311399443929564,"[0.15034496962207805, 0.1275872721655854, 0.19513953248893007, 0.16053959427453404, 0.16311399443929564]",False,0.4850084559283269,0.03010768043783807,0.3842751955824903
B_dd=none_ss=random_mm=none_af=cndids_as=cade_mad,B_dd=none_ss=random_mm=none_af=cndids_as=cade_mad__nsl-kdd,nsl-kdd,none,random,none,cndids,cade_mad,B,0.9016319129646418,0.874990835105213,0.9299462323696719,0.9351482337194152,0.01696967752969651,"[[0.9267786766231072, 0.9207048458149779, 0.41274817136886105, 0.5251908396946565, 0.0], [0.9476708393186949, 0.9573497321959928, 0.740552016985138, 0.5905383360522022, 0.0], [0.9338462595314969, 0.9406249999999999, 0.8757855822550831, 0.5298398835516739, 0.0], [0.9266435515670678, 0.9189810381153035, 0.7518678725914274, 0.43151515151515146, 0.0], [0.9459350141566671, 0.9379014989293362, 0.8599517714709701, 0.5155195681511472, 0.0]]",0.9306220038870894,0.0,583.1979768276215,0,0,0.0,0.002093375194487291,,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8986323411102172, 'recall_final': 0.940734781442746, 'forgetting': -0.04210244033252886}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.996695580338703, 'recall_final': 0.9950433705080545, 'forgetting': 0.00165220983064851}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.8602033405954974, 'recall_final': 0.8416848220769789, 'forgetting': 0.01851851851851849}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.89, 'recall_final': 0.955, 'forgetting': -0.06499999999999995}}","{'DoS': [0.8986323411102172, 0.9288012872083669, 0.9113703405738804, 0.9137838562617324, 0.940734781442746], 'Probe': [0.9496076001652209, 0.996695580338703, 0.9946303180503924, 0.9909128459314333, 0.9950433705080545], 'R2L': [0.28685548293391433, 0.6332607116920842, 0.8602033405954974, 0.6942628903413217, 0.8416848220769789], 'U2R': [0.86, 0.905, 0.91, 0.89, 0.955]}",0.17557409123674184,"[0.15034496962207805, 0.11595098342086294, 0.15580269797137267, 0.21954484605087016, 0.17557409123674184]",False,0.4825318211372773,0.024779593203997807,0.40061817026583607
B_dd=none_ss=random_mm=none_af=cndids_as=pca,B_dd=none_ss=random_mm=none_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,none,cndids,pca,B,0.8877445932028837,0.9027632320953839,0.873217486168472,0.9123636521682333,-0.005787595724721956,"[[0.950863038158852, 0.9145557655954631, 0.8781085814360771, 0.4530892448512585, 0.0], [0.9379000408552363, 0.936458736923673, 0.8062403697996918, 0.4758064516129032, 0.0], [0.9447161097527846, 0.9392049883086515, 0.7833863275039745, 0.4829545454545455, 0.0], [0.9554579249746538, 0.9500887749062932, 0.8280551777734603, 0.5417956656346749, 0.0], [0.9409500240599437, 0.9550939663699308, 0.7458053691275168, 0.5475040257648952, 0.0]]",0.8681332494600058,0.0,1548.0259511470795,0,0,0.0,0.0036380196226836097,,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.9639313488871011, 'recall_final': 0.9176722982032717, 'forgetting': 0.046259050683829406}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.9983477901693515, 'recall_final': 0.9971086327963652, 'forgetting': 0.0012391573729862992}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.7156862745098039, 'recall_final': 0.6456063907044299, 'forgetting': 0.070079883805374}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.875, 'recall_final': 0.85, 'forgetting': 0.025000000000000022}}","{'DoS': [0.9639313488871011, 0.9234379190131402, 0.9325556449450255, 0.9477071600965407, 0.9176722982032717], 'Probe': [0.9991738950846758, 0.9983477901693515, 0.9954564229657167, 0.9946303180503924, 0.9971086327963652], 'R2L': [0.9103122730573711, 0.7599854756717502, 0.7156862745098039, 0.7737835875090777, 0.6456063907044299], 'U2R': [0.99, 0.885, 0.85, 0.875, 0.85]}",0.12429203995469056,"[0.2410668314282772, 0.17989908351354134, 0.16568839460405727, 0.13757594480486046, 0.12429203995469056]",False,0.4686445013755191,0.0019950116528159034,0.37786089701141756
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,B_dd=none_ss=random_mm=cndids_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,cndids,cndids,pca,B,0.8815194914605193,0.8666516075596717,0.8969064131535884,0.9192243796325259,-0.008326057069779208,"[[0.950863038158852, 0.9145557655954631, 0.8781085814360771, 0.4530892448512585, 0.0], [0.9197231833910036, 0.8766339869281046, 0.7996112730806607, 0.5109289617486339, 0.0], [0.9366768657709191, 0.9001862197392924, 0.8652384243261921, 0.40880503144654085, 0.0], [0.9406860735274021, 0.9410843609316892, 0.6440602836879432, 0.4970059880239521, 0.0], [0.9339969998636302, 0.9157148483654983, 0.8225437928408225, 0.48418156808803303, 0.0]]",0.8968510012613178,0.0,629.4905982017517,1000,1000,1000.0,0.0029835953113455734,,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.9639313488871011, 'recall_final': 0.918342719227675, 'forgetting': 0.045588629659426116}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.8864105741429161, 'recall_final': 0.9603469640644362, 'forgetting': -0.07393638992152007}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.9092229484386347, 'recall_final': 0.7843137254901961, 'forgetting': 0.12490922294843865}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.83, 'recall_final': 0.88, 'forgetting': -0.050000000000000044}}","{'DoS': [0.9639313488871011, 0.8909895414320194, 0.9440868865647627, 0.9229015821936176, 0.918342719227675], 'Probe': [0.9991738950846758, 0.8864105741429161, 0.9983477901693515, 0.9929781082197439, 0.9603469640644362], 'R2L': [0.9103122730573711, 0.7469135802469136, 0.9092229484386347, 0.5275962236746551, 0.7843137254901961], 'U2R': [0.99, 0.935, 0.975, 0.83, 0.88]}",0.18237050767171248,"[0.2410668314282772, 0.17783956338173207, 0.2846256822160437, 0.1548759139120585, 0.18237050767171248]",False,0.46241939963315476,0.008855739117108463,0.37532243566636037
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,B_dd=none_ss=random_mm=spider_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,spider,cndids,pca,B,0.8802281368821293,0.8950463149416029,0.8658926205875477,0.9349647104713499,-0.014178988531570708,"[[0.950863038158852, 0.9145557655954631, 0.8781085814360771, 0.4530892448512585, 0.0], [0.9370158302458741, 0.9220455851369469, 0.6184933011201404, 0.43821656050955415, 0.0], [0.9410331054092479, 0.933230412967966, 0.8109146810146042, 0.5019815059445178, 0.0], [0.9386952393869523, 0.9426453374951229, 0.8121471676075531, 0.5372714486638538, 0.0], [0.9462702850129551, 0.9520993494973389, 0.6845784185233726, 0.5814307458143074, 0.0]]",0.9052340931579228,0.0,633.8556997776031,1000,1000,1000.0,0.004387942504341337,,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.9639313488871011, 'recall_final': 0.9304102976669348, 'forgetting': 0.03352105122016624}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.9942172655927303, 'recall_final': 0.9975216852540273, 'forgetting': -0.00330441966129702}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.766158315177923, 'recall_final': 0.5689905591866377, 'forgetting': 0.19716775599128533}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.955, 'recall_final': 0.955, 'forgetting': 0.0}}","{'DoS': [0.9639313488871011, 0.9325556449450255, 0.9318852239206221, 0.9279967819790829, 0.9304102976669348], 'Probe': [0.9991738950846758, 0.9942172655927303, 0.9987608426270136, 0.9979347377116894, 0.9975216852540273], 'R2L': [0.9103122730573711, 0.5112563543936093, 0.766158315177923, 0.7574437182280319, 0.5689905591866377], 'U2R': [0.99, 0.86, 0.95, 0.955, 0.955]}",0.13417773658737514,"[0.2410668314282772, 0.2118216455565853, 0.18648954793533107, 0.16723303470291423, 0.13417773658737514]",False,0.46112804505476473,0.024596069955932442,0.3694695042045688
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,gpm,cade_mad,A,0.835327773077078,0.8648423160353746,0.8077612405517026,0.904434217174853,0.03009303889752763,"[[0.9287343215507411, 0.656675749318801, 0.3790811904073967, 0.06274509803921569, 0.0], [0.9554020521762456, 0.8770846201358864, 0.36720615547890684, 0.13669064748201437, 0.0], [0.934916086778551, 0.8842790319300387, 0.6492994746059544, 0.17586206896551726, 0.0], [0.9485437546243358, 0.8873182552504039, 0.7071846282372598, 0.18666666666666668, 0.0], [0.9356996587030716, 0.8630308076602833, 0.6006360745115856, 0.36279069767441857, 0.0]]",0.9039850687438468,0.09999761853730561,82.52061009407043,1000,1000,1000.0,0.0010565124224736556,0.8960967965304858,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8736926790024135, 'recall_final': 0.9190131402520783, 'forgetting': -0.04532046124966471}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.8798017348203222, 'recall_final': 0.8562577447335812, 'forgetting': 0.023543990086741018}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.5384894698620188, 'recall_final': 0.48002904865649965, 'forgetting': 0.0584604212055192}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.28, 'recall_final': 0.585, 'forgetting': -0.30499999999999994}}","{'DoS': [0.8736926790024135, 0.9550817913649772, 0.918744971842317, 0.9454277286135693, 0.9190131402520783], 'Probe': [0.49772821148285834, 0.8798017348203222, 0.8979760429574556, 0.9074762494836844, 0.8562577447335812], 'R2L': [0.23819898329702252, 0.2512708787218591, 0.5384894698620188, 0.6147421931735657, 0.48002904865649965], 'U2R': [0.04, 0.19, 0.255, 0.28, 0.585]}",0.16682113067655235,"[0.025435073627844713, 0.1627020904129338, 0.16991041087426628, 0.17619194727628462, 0.16682113067655235]",False,0.4162276812497134,-0.0059344233405644875,0.41374153163366717
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,random,ssf,lwf_ssf,cade_mad,A,0.7993984962406014,0.8909212794483815,0.7249279202057196,0.8647062266534751,0.009287507149758456,"[[0.9286112660345789, 0.8526246430924664, 0.29141370338248046, 0.014962593516209474, 0.0], [0.9284818067754078, 0.8538832821412901, 0.29403286249639665, 0.014925373134328358, 0.0], [0.9263948796438012, 0.89904046725073, 0.2941176470588235, 0.013856812933025405, 0.0], [0.9259903919793915, 0.8977629103073383, 0.28940568475452194, 0.013921113689095127, 0.0], [0.9259800849523014, 0.8970711297071129, 0.2907110091743119, 0.013921113689095127, 0.0]]",0.8048388018664198,0.09999761853730561,299.9333827495575,1000,1000,1000.0,0.0010587756222575331,0.8181026979982594,42,8c086d2c61eb,"[False, True, True, True, True]","[0.0, 0.750905472636816, 0.5367306415929204, 0.5202041420118343, 0.5101455301455301]",4,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8930008045052292, 'recall_final': 0.891525878251542, 'forgetting': 0.001474926253687281}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.8038000826104915, 'recall_final': 0.8855844692275919, 'forgetting': -0.08178438661710041}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.18700072621641248, 'recall_final': 0.1840958605664488, 'forgetting': 0.0029048656499636727}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.015, 'recall_final': 0.015, 'forgetting': 0.0}}","{'DoS': [0.8930008045052292, 0.8930008045052292, 0.8927326360954679, 0.8916599624564227, 0.891525878251542], 'Probe': [0.8017348203221809, 0.8038000826104915, 0.8901280462618752, 0.8868236266005782, 0.8855844692275919], 'R2L': [0.1830065359477124, 0.18518518518518517, 0.18700072621641248, 0.1830065359477124, 0.1840958605664488], 'U2R': [0.015, 0.015, 0.015, 0.015, 0.015]}",0.11728967150653898,"[0.1027700545772835, 0.1039027906497786, 0.11893728761198641, 0.11698074348676758, 0.11728967150653898]",False,0.38029840441323687,-0.045662413861942364,0.392935999885898
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,lwf_ssf,cade_mad,A,0.7930462129815672,0.9022959944339529,0.7073949972726564,0.886516443342831,-0.0014349262702489031,"[[0.9286112660345789, 0.8526246430924664, 0.29141370338248046, 0.014962593516209474, 0.0], [0.9283224097057593, 0.8536317752907615, 0.2930487453129507, 0.014962593516209474, 0.0], [0.928441902636351, 0.8521777386713595, 0.2921478060046189, 0.015037593984962405, 0.0], [0.9285415212840196, 0.8480565371024735, 0.29117221418234446, 0.015037593984962405, 0.0], [0.928102750244311, 0.8485651214128035, 0.29190751445086704, 0.015113350125944584, 0.0]]",0.8060995016556686,0.09999761853730561,216.93861627578735,1000,1000,1000.0,0.0011067787242155704,0.8125365161505718,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8930008045052292, 'recall_final': 0.8913917940466614, 'forgetting': 0.0016090104585678722}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.8033870301528294, 'recall_final': 0.7938868236266006, 'forgetting': 0.00950020652622885}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.18373275236020334, 'recall_final': 0.18336964415395787, 'forgetting': 0.000363108206245466}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.015, 'recall_final': 0.015, 'forgetting': 0.0}}","{'DoS': [0.8930008045052292, 0.8925985518905873, 0.8924644676857066, 0.8920622150710646, 0.8913917940466614], 'Probe': [0.8017348203221809, 0.8033870301528294, 0.8000826104915324, 0.7930607187112764, 0.7938868236266006], 'R2L': [0.1830065359477124, 0.18445896877269427, 0.18373275236020334, 0.18264342774146697, 0.18336964415395787], 'U2R': [0.015, 0.015, 0.015, 0.015, 0.015]}",0.10122541447842652,"[0.1027700545772835, 0.10369683863659768, 0.10225517454433117, 0.1007105344454742, 0.10122541447842652]",False,0.3739461211542026,-0.023852197172586465,0.38221356646589066
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,random,ssf,lwf_ssf,cade_mad,A,0.7924990164794334,0.9025288729589804,0.706381983947635,0.8922949665635103,-0.0024020717595287892,"[[0.9286112660345789, 0.8526246430924664, 0.29141370338248046, 0.014962593516209474, 0.0], [0.9284818067754078, 0.8538832821412901, 0.29403286249639665, 0.014925373134328358, 0.0], [0.9283024131678058, 0.8514197666740041, 0.291245304825195, 0.015, 0.0], [0.9286162863722002, 0.8493271564085595, 0.28902403706921515, 0.015, 0.0], [0.9283171633977804, 0.8457623368001771, 0.2900144717800289, 0.015037593984962405, 0.0]]",0.8189040541179557,0.09999761853730561,311.793790102005,1000,1000,1000.0,0.0011007823023582875,0.8125810364297963,42,8c086d2c61eb,"[False, False, False, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,"{'DoS': {'n_test': 7458, 'first_seen_round': 0, 'recall_at_first_seen': 0.8930008045052292, 'recall_final': 0.8916599624564227, 'forgetting': 0.0013408420488065786}, 'Probe': {'n_test': 2421, 'first_seen_round': 1, 'recall_at_first_seen': 0.8038000826104915, 'recall_final': 0.7893432465923172, 'forgetting': 0.014456836018174268}, 'R2L': {'n_test': 2754, 'first_seen_round': 2, 'recall_at_first_seen': 0.1830065359477124, 'recall_final': 0.18191721132897604, 'forgetting': 0.0010893246187363703}, 'U2R': {'n_test': 200, 'first_seen_round': 3, 'recall_at_first_seen': 0.015, 'recall_final': 0.015, 'forgetting': 0.0}}","{'DoS': [0.8930008045052292, 0.8930008045052292, 0.8923303834808259, 0.8921962992759453, 0.8916599624564227], 'Probe': [0.8017348203221809, 0.8038000826104915, 0.7988434531185461, 0.795125980999587, 0.7893432465923172], 'R2L': [0.1830065359477124, 0.18518518518518517, 0.1830065359477124, 0.1811909949164851, 0.18191721132897604], 'U2R': [0.015, 0.015, 0.015, 0.015, 0.015]}",0.10081351045206467,"[0.1027700545772835, 0.1039027906497786, 0.10235815055092164, 0.10091648645865513, 0.10081351045206467]",False,0.37339892465206886,-0.018073673951907177,0.38124642097661077
