# 기준선: A_dd=none_ss=random_mm=none_af=none_as=none (backbone만 BCE로 계속 학습, drift/메모리/망각방지/별도 scorer 없음). Track B 조합은 라벨 예산 없이 experience 전체를 쓰므로 학습 조건 자체가 다르다 (write_no_cl_comparison() docstring 참고)
combo_id,track,f1,bwt,f1_delta_vs_no_cl,pr_auc_delta_vs_no_cl,bwt_delta_vs_no_cl,final_f1_exp0,forgetting_exp0,no_cl_final_f1_exp0,no_cl_forgetting_exp0,final_f1_exp1,forgetting_exp1,no_cl_final_f1_exp1,no_cl_forgetting_exp1,final_f1_exp2,forgetting_exp2,no_cl_final_f1_exp2,no_cl_forgetting_exp2,final_f1_exp3,forgetting_exp3,no_cl_final_f1_exp3,no_cl_forgetting_exp3,final_f1_exp4,forgetting_exp4,no_cl_final_f1_exp4,no_cl_forgetting_exp4
B_dd=none_ss=random_mm=spider_af=cndids_as=cade_mad,B,0.9137891255864031,0.00907069002296429,0.49468903375903855,0.03156891065173795,0.39271918275910384,0.9436128767685052,-0.01683420014539805,0.5963793265172123,0.33833835233359144,0.948429164196799,-0.006541488689778663,0.17528089887640452,0.6884666005679164,0.8875301093199927,0.006796517469929486,0.005765765765765766,0.3215831271127501,0.5687789799072643,-0.019703588726609933,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
B_dd=none_ss=random_mm=cndids_af=cndids_as=cade_mad,B,0.9041085477556915,0.0006267028463507462,0.4850084559283269,0.03010768043783807,0.3842751955824903,0.9448925642242256,-0.018113887601118428,0.5963793265172123,0.33833835233359144,0.9297658862876254,0.025552421343849607,0.17528089887640452,0.6884666005679164,0.8737075332348597,0.0037699442426176732,0.005765765765765766,0.3215831271127501,0.5516265912305516,-0.013715289370751838,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
B_dd=none_ss=random_mm=none_af=cndids_as=cade_mad,B,0.9016319129646418,0.01696967752969651,0.4825318211372773,0.024779593203997807,0.40061817026583607,0.9459350141566671,-0.01915633753355994,0.5963793265172123,0.33833835233359144,0.9379014989293362,0.019448233266656678,0.17528089887640452,0.6884666005679164,0.8599517714709701,0.015833810784112945,0.005765765765765766,0.3215831271127501,0.5155195681511472,-0.08400441663599573,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
B_dd=none_ss=random_mm=none_af=cndids_as=pca,B,0.8877445932028837,-0.005787595724721956,0.4686445013755191,0.0019950116528159034,0.37786089701141756,0.9409500240599437,0.009913014098908324,0.5963793265172123,0.33833835233359144,0.9550939663699308,-0.01863522944625784,0.17528089887640452,0.6884666005679164,0.7458053691275168,0.037580958376457696,0.005765765765765766,0.3215831271127501,0.5475040257648952,-0.005708360130220358,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,B,0.8815194914605193,-0.008326057069779208,0.46241939963315476,0.008855739117108463,0.37532243566636037,0.9339969998636302,0.01686603829522182,0.5963793265172123,0.33833835233359144,0.9157148483654983,-0.039080861437393755,0.17528089887640452,0.6884666005679164,0.8225437928408225,0.04269463148536967,0.005765765765765766,0.3215831271127501,0.48418156808803303,0.012824419935919096,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,B,0.8802281368821293,-0.014178988531570708,0.46112804505476473,0.024596069955932442,0.3694695042045688,0.9462702850129551,0.004592753145896911,0.5963793265172123,0.33833835233359144,0.9520993494973389,-0.030053764360391977,0.17528089887640452,0.6884666005679164,0.6845784185233726,0.12633626249123153,0.005765765765765766,0.3215831271127501,0.5814307458143074,-0.044159297150453636,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,A,0.835327773077078,0.03009303889752763,0.4162276812497134,-0.0059344233405644875,0.41374153163366717,0.9356996587030716,-0.0069653371523304974,0.5963793265172123,0.33833835233359144,0.8630308076602833,0.014053812475603111,0.17528089887640452,0.6884666005679164,0.6006360745115856,0.04866340009436876,0.005765765765765766,0.3215831271127501,0.36279069767441857,-0.1761240310077519,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A,0.7993984962406014,0.009287507149758456,0.38029840441323687,-0.045662413861942364,0.392935999885898,0.9259800849523014,0.002631181082277445,0.5963793265172123,0.33833835233359144,0.8970711297071129,-0.043187847565822834,0.17528089887640452,0.6884666005679164,0.2907110091743119,0.0034066378845115652,0.005765765765765766,0.3215831271127501,0.013921113689095127,0.0,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,0.7930462129815672,-0.0014349262702489031,0.3739461211542026,-0.023852197172586465,0.38221356646589066,0.928102750244311,0.0005085157902678938,0.5963793265172123,0.33833835233359144,0.8485651214128035,0.005066653877958016,0.17528089887640452,0.6884666005679164,0.29190751445086704,0.00024029155375188127,0.005765765765765766,0.3215831271127501,0.015113350125944584,-7.57561409821788e-05,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A,0.7924990164794334,-0.0024020717595287892,0.37339892465206886,-0.018073673951907177,0.38124642097661077,0.9283171633977804,0.0002941026367985211,0.5963793265172123,0.33833835233359144,0.8457623368001771,0.008120945341112962,0.17528089887640452,0.6884666005679164,0.2900144717800289,0.0012308330451660798,0.005765765765765766,0.3215831271127501,0.015037593984962405,-3.7593984962405735e-05,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
