combo_id,track,category,n_test,first_seen_round,recall_at_first_seen,recall_final,forgetting
A_dd=none_ss=random_mm=ssf_af=none_as=none,A,DoS,7458,0,0.8812013944757308,0.35813891123625635,0.5230624832394744
A_dd=none_ss=random_mm=ssf_af=none_as=none,A,Probe,2421,1,0.7959520859149112,0.06402313093762908,0.731928954977282
A_dd=none_ss=random_mm=ssf_af=none_as=none,A,R2L,2754,2,0.19099491648511258,0.0,0.19099491648511258
A_dd=none_ss=random_mm=ssf_af=none_as=none,A,U2R,200,3,0.125,0.03,0.095
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,DoS,7458,0,0.28090640922499327,0.27379994636631805,0.007106462858675222
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Probe,2421,1,0.023130937629078894,0.49979347377116895,-0.47666253614209003
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,R2L,2754,2,0.5588235294117647,0.33769063180827885,0.22113289760348587
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,U2R,200,3,0.745,0.705,0.040000000000000036
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A,DoS,7458,0,0.8983641727004559,0.18409761330115312,0.7142665593993027
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A,Probe,2421,1,0.5485336637752994,0.06608839322593969,0.48244527054935976
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A,R2L,2754,2,0.12236746550472041,0.0007262164124909223,0.1216412490922295
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A,U2R,200,3,0.1,0.025,0.07500000000000001
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,DoS,7458,0,0.7720568517028694,0.7375972110485385,0.034459640654330936
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,Probe,2421,1,0.6133828996282528,0.6274266831887649,-0.014043783560512169
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,R2L,2754,2,0.22294843863471314,0.03848946986201888,0.18445896877269427
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,U2R,200,3,0.17,0.095,0.07500000000000001
A_dd=cade_ss=random_mm=none_af=none_as=none,A,DoS,7458,0,0.8983641727004559,0.023464735854116386,0.8748994368463395
A_dd=cade_ss=random_mm=none_af=none_as=none,A,Probe,2421,1,0.9008674101610905,0.1325898389095415,0.768277571251549
A_dd=cade_ss=random_mm=none_af=none_as=none,A,R2L,2754,2,0.11074800290486565,0.002178649237472767,0.10856935366739288
A_dd=cade_ss=random_mm=none_af=none_as=none,A,U2R,200,3,0.105,0.085,0.01999999999999999
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,DoS,7458,0,0.7720568517028694,0.6958970233306516,0.0761598283722178
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,Probe,2421,1,0.6142090045435771,0.5059892606361008,0.10821974390747624
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,R2L,2754,2,0.16521423384168482,0.14887436456063907,0.01633986928104575
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A,U2R,200,3,0.18,0.06,0.12
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A,DoS,7458,0,0.23384285331187987,0.03781174577634755,0.19603110753553232
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A,Probe,2421,1,0.37174721189591076,0.41718298223874434,-0.04543577034283358
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A,R2L,2754,2,0.002178649237472767,0.19462599854756718,-0.1924473493100944
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A,U2R,200,3,0.61,0.55,0.05999999999999994
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A,DoS,7458,0,0.8714132475194422,0.8707428264950389,0.0006704210244032893
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A,Probe,2421,1,0.520033044196613,0.49648905410987193,0.023543990086741073
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A,R2L,2754,2,0.22440087145969498,0.2251270878721859,-0.000726216412490932
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A,U2R,200,3,0.28,0.22,0.060000000000000026
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A,DoS,7458,0,0.6063287744703674,0.17833199249128454,0.42799678197908286
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A,Probe,2421,1,0.5890128046261875,0.15406856670797192,0.4349442379182156
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A,R2L,2754,2,0.21241830065359477,0.18627450980392157,0.026143790849673193
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A,U2R,200,3,0.07,0.055,0.015000000000000006
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,DoS,7458,0,0.7817109144542773,0.7361222847948512,0.045588629659426116
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,Probe,2421,1,0.38909541511771994,0.47790169351507644,-0.0888062783973565
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,R2L,2754,2,0.0018155410312273058,0.0018155410312273058,0.0
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,U2R,200,3,0.095,0.095,0.0
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A,DoS,7458,0,0.8983641727004559,0.0195762939125771,0.8787878787878788
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A,Probe,2421,1,0.5613382899628253,0.041305245766212306,0.520033044196613
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A,R2L,2754,2,0.10602759622367465,0.004357298474945534,0.10167029774872911
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A,U2R,200,3,0.06,0.01,0.049999999999999996
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A,DoS,7458,0,0.28090640922499327,0.45105926521855727,-0.170152855993564
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A,Probe,2421,1,0.02560925237505163,0.5869475423378769,-0.5613382899628253
