combo_id,DoS,Probe,R2L,U2R,normal_fpr
B_dd=none_ss=random_mm=spider_af=cndids_as=cade_mad,0.9255832662912309,0.9913258983890955,0.8696441539578794,0.92,0.13294202450828957
B_dd=none_ss=random_mm=cndids_af=cndids_as=cade_mad,0.9345669080182355,0.9760429574555969,0.8591140159767611,0.975,0.16311399443929564
B_dd=none_ss=random_mm=none_af=cndids_as=cade_mad,0.940734781442746,0.9950433705080545,0.8416848220769789,0.955,0.17557409123674184
B_dd=none_ss=random_mm=none_af=cndids_as=pca,0.9176722982032717,0.9971086327963652,0.6456063907044299,0.85,0.12429203995469056
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,0.918342719227675,0.9603469640644362,0.7843137254901961,0.88,0.18237050767171248
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,0.9304102976669348,0.9975216852540273,0.5689905591866377,0.955,0.13417773658737514
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,0.9190131402520783,0.8562577447335812,0.48002904865649965,0.585,0.16682113067655235
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,0.891525878251542,0.8855844692275919,0.1840958605664488,0.015,0.11728967150653898
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,0.8913917940466614,0.7938868236266006,0.18336964415395787,0.015,0.10122541447842652
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,0.8916599624564227,0.7893432465923172,0.18191721132897604,0.015,0.10081351045206467
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad,0.8904532046124967,0.7885171416769929,0.1811909949164851,0.015,0.1010194624652456
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad,0.8188522392062215,0.7757125154894672,0.45098039215686275,0.155,0.13407476058078469
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,0.8925985518905873,0.8265179677819083,0.014524328249818447,0.015,0.07352486870559159
A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad,0.8535800482703138,0.5919041718298224,0.49491648511256353,0.165,0.16682113067655235
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,0.8912577098417807,0.7178851714167699,0.013798111837327523,0.015,0.054268355473174754
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none,0.890319120407616,0.7182982238744321,0.013798111837327523,0.015,0.05365049943363196
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,0.8909895414320194,0.7195373812474184,0.013071895424836602,0.015,0.05468025949953661
A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad,0.8000804505229284,0.6988847583643123,0.2933914306463326,0.09,0.07764390896921017
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,0.8966210780370072,0.664601404378356,0.002178649237472767,0.0,0.055298115539079394
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,0.8968892464467686,0.6538620404791409,0.002178649237472767,0.005,0.05581299557203172
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,0.8958165728077232,0.6418835192069393,0.002178649237472767,0.005,0.05571001956544125
A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad,0.7280772325020113,0.6720363486162743,0.04611474219317357,0.04,0.07887962104829575
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad,0.8365513542504693,0.6633622470053697,0.23202614379084968,0.22,0.35094223046030276
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,0.7375972110485385,0.6274266831887649,0.03848946986201888,0.095,0.13757594480486046
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,0.6958970233306516,0.5059892606361008,0.14887436456063907,0.06,0.08310163731850478
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=none,0.8192544918208635,0.49814126394052044,0.002178649237472767,0.095,0.20677582123365257
A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad,0.6865111289890051,0.5010326311441553,0.13144517066085692,0.095,0.08042426114715272
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,0.6976401179941003,0.459727385377943,0.22076978939724037,0.06,0.1339717845741942
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=none,0.8129525341914723,0.3754646840148699,0.002904865649963689,0.085,0.17032231490062816
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=none,0.7845266827567713,0.3527467988434531,0.002541757443718228,0.085,0.1999794047986819
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none,0.6944220970769643,0.3853779429987608,0.0007262164124909223,0.085,0.12717536813922356
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,0.6060606060606061,0.40024783147459725,0.18917937545388525,0.165,0.10853671094634951
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,0.45105926521855727,0.5869475423378769,0.41103848946986205,0.71,0.14282772114097414
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,0.45105926521855727,0.5869475423378769,0.41103848946986205,0.71,0.14282772114097414
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,0.45105926521855727,0.5869475423378769,0.41103848946986205,0.71,0.14282772114097414
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,0.8761061946902655,0.5014456836018174,0.2251270878721859,0.195,0.7358665430954587
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,0.7361222847948512,0.47790169351507644,0.0018155410312273058,0.095,0.3209762125424776
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,0.6106194690265486,0.39611730689797603,0.07153231663035585,0.15,0.09309030995777984
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none,0.6808795923840172,0.4250309789343247,0.002178649237472767,0.09,0.19246215631757801
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,0.5906409224993295,0.40850888062783974,0.1310820624546115,0.13,0.11080218309133971
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,0.8707428264950389,0.49648905410987193,0.2251270878721859,0.22,0.7782926578107301
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=none,0.7515419683561276,0.38248657579512596,0.002178649237472767,0.095,0.3300381011224385
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,0.8625636899973184,0.5741429161503511,0.22657952069716775,0.195,0.839460405725466
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,0.8653794582998123,0.5076414704667492,0.22440087145969498,0.195,0.8218515085984965
A_dd=none_ss=random_mm=spider_af=none_as=none,0.5690533655135425,0.30318050392399837,0.04974582425562818,0.075,0.01493152095561734
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,0.588897827835881,0.3271375464684015,0.03631082062454612,0.135,0.0978272062609412
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=none,0.6434700992223116,0.37670384138785623,0.0010893246187363835,0.09,0.24178766347441047
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,0.32099758648431215,0.567121024370095,0.3453159041394335,0.7,0.12923488827103286
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,0.32099758648431215,0.567121024370095,0.3453159041394335,0.7,0.12923488827103286
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,0.32099758648431215,0.567121024370095,0.3453159041394335,0.7,0.12923488827103286
A_dd=cade_ss=random_mm=spider_af=none_as=none,0.4068114776079378,0.3114415530772408,0.09949164851125636,0.055,0.020389249304911955
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,0.27379994636631805,0.49979347377116895,0.33769063180827885,0.705,0.10894861497271136
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,0.27379994636631805,0.49979347377116895,0.33769063180827885,0.705,0.10894861497271136
A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad,0.27379994636631805,0.49979347377116895,0.33769063180827885,0.705,0.10894861497271136
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none,0.38710109949048,0.5113589425857084,0.0039941902687000725,0.05,0.06786118834311605
A_dd=none_ss=random_mm=none_af=none_as=none,0.42625368731563423,0.09665427509293681,0.002904865649963689,0.01,0.00813510452064669
A_dd=ssf_ss=ssf_mm=spider_af=none_as=cade_mad,0.3333333333333333,0.2110698058653449,0.18155410312273057,0.155,0.06147667593450726
A_dd=none_ss=random_mm=spider_af=gpm_as=none,0.40734781442746043,0.12061131763733994,0.0010893246187363835,0.08,0.0051488003295232215
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,0.36323411102172165,0.0644361833952912,0.00036310820624546115,0.01,0.008752960560189475
A_dd=none_ss=random_mm=ssf_af=none_as=none,0.35813891123625635,0.06402313093762908,0.0,0.03,0.007105344454742045
A_dd=cade_ss=random_mm=ssf_af=none_as=none,0.26334137838562616,0.14911193721602645,0.0014524328249818446,0.09,0.009679744619503656
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none,0.28104049342987397,0.12308963238331268,0.0014524328249818446,0.005,0.04942848316342292
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,0.17833199249128454,0.15406856670797192,0.18627450980392157,0.055,0.05797549171043147
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none,0.15486725663716813,0.16191656340355226,0.20079883805374002,0.13,0.0442796828338997
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,0.18624296057924378,0.2057001239157373,0.024328249818445898,0.06,0.01256307280403666
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad,0.04210244033252883,0.40024783147459725,0.22549019607843138,0.55,0.0457213469261662
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad,0.04612496647894878,0.42585708384964893,0.19789397240377632,0.55,0.06755226032334466
A_dd=cade_ss=ssf_mm=ssf_af=none_as=cade_mad,0.0391525878251542,0.4225526641883519,0.19680464778503995,0.55,0.06291834002677377
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,0.03781174577634755,0.41718298223874434,0.19462599854756718,0.55,0.05941715580269797
A_dd=none_ss=random_mm=ssf_af=gpm_as=none,0.18664521319388577,0.1751342420487402,0.0039941902687000725,0.045,0.010400576665636907
A_dd=none_ss=ssf_mm=spider_af=gpm_as=none,0.13502279431482972,0.26435357290375877,0.01597676107480029,0.05,0.002677376171352075
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,0.18409761330115312,0.06608839322593969,0.0007262164124909223,0.025,0.001441664092266502
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none,0.12791633145615447,0.13093762907889303,0.10965867828612927,0.03,0.08526413345690455
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,0.022392062215071066,0.2949194547707559,0.17247639796659406,0.545,0.034599938214396046
A_dd=ssf_ss=ssf_mm=spider_af=none_as=none,0.11423974255832663,0.0714580751755473,0.1270878721859114,0.065,0.009679744619503656
A_dd=cade_ss=ssf_mm=spider_af=none_as=cade_mad,0.020783051756503083,0.2771581990912846,0.16376180101670298,0.545,0.03398208217485326
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,0.10150174309466345,0.1305245766212309,0.0032679738562091504,0.085,0.001956544125218824
A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad,0.048672566371681415,0.15985130111524162,0.07915758896151052,0.66,0.013077952836988982
A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad,0.048672566371681415,0.15985130111524162,0.07915758896151052,0.66,0.013077952836988982
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,0.048672566371681415,0.15985130111524162,0.07915758896151052,0.66,0.013077952836988982
A_dd=none_ss=ssf_mm=ssf_af=none_as=cade_mad,0.09855189058728882,0.09458901280462619,0.007625272331154684,0.11,0.017299969107198023
A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad,0.09198176454813622,0.03139198678232136,0.012708787218591141,0.115,0.0610647719081454
A_dd=none_ss=ssf_mm=ssf_af=none_as=none,0.05913113435237329,0.08880627839735647,0.0054466230936819175,0.085,0.011739264751312943
A_dd=cade_ss=ssf_mm=ssf_af=none_as=none,0.08125502815768303,0.01982651796778191,0.0039941902687000725,0.095,0.05272371537431778
A_dd=none_ss=random_mm=none_af=gpm_as=none,0.0441137034057388,0.07063197026022305,0.05628177196804648,0.02,0.0025744001647616107
A_dd=none_ss=ssf_mm=spider_af=none_as=cade_mad,0.07481898632341111,0.03510945890128046,0.005809731299927378,0.065,0.0489136031304706
A_dd=cade_ss=random_mm=none_af=none_as=none,0.023464735854116386,0.1325898389095415,0.002178649237472767,0.085,0.007826176500875297
A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none,0.055242692410834,0.03882693102023957,0.0039941902687000725,0.08,0.05117907527546082
