combo_id,track,category,n_test,first_seen_round,recall_at_first_seen,recall_final,forgetting
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Analysis,677,0,0.01624815361890694,0.03545051698670606,-0.019202363367799118
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Backdoor,583,1,0.008576329331046312,0.018867924528301886,-0.010291595197255574
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,DoS,4089,2,0.028124235754463194,0.04426510149180729,-0.016140865737344096
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Exploits,11132,3,0.13995688106360044,0.13681279195113188,0.003144089112468551
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Fuzzers,6062,4,0.0074232926426921805,0.0074232926426921805,0.0
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Generic,18871,0,0.64331513963224,0.6589475915425785,-0.015632451910338574
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Reconnaissance,3496,1,0.002574370709382151,0.009153318077803204,-0.006578947368421052
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Shellcode,378,2,0.0,0.0026455026455026454,-0.0026455026455026454
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A,Worms,44,3,0.0,0.0,0.0
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Analysis,677,0,0.8596750369276218,0.9955686853766618,-0.13589364844903995
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Backdoor,583,1,0.9828473413379074,1.0,-0.01715265866209259
A_dd=none_ss=random_mm=spider_af=none_as=none,A,DoS,4089,2,0.97505502567865,0.9938860357055515,-0.018831010026901462
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Exploits,11132,3,0.9830219187926698,0.9891304347826086,-0.00610851598993889
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Fuzzers,6062,4,0.9666776641372484,0.9666776641372484,0.0
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Generic,18871,0,0.9874410471093212,0.9608923745429495,0.026548672566371723
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Reconnaissance,3496,1,0.988558352402746,0.9968535469107551,-0.008295194508009085
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Shellcode,378,2,0.9682539682539683,0.9973544973544973,-0.02910052910052907
A_dd=none_ss=random_mm=spider_af=none_as=none,A,Worms,44,3,0.9318181818181818,1.0,-0.06818181818181823
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Analysis,677,0,0.7223042836041359,0.7666174298375185,-0.04431314623338256
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Backdoor,583,1,0.8267581475128645,0.8404802744425386,-0.013722126929674117
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,DoS,4089,2,0.7791636096845195,0.7747615553925165,0.0044020542920030215
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Exploits,11132,3,0.6506467840459935,0.6320517427236795,0.018595041322314043
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Fuzzers,6062,4,0.35466842626195977,0.35466842626195977,0.0
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Generic,18871,0,0.9912034338402841,0.9908854856658365,0.00031794817444763535
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Reconnaissance,3496,1,0.5205949656750573,0.4762585812356979,0.04433638443935933
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Shellcode,378,2,0.4523809523809524,0.4973544973544973,-0.04497354497354494
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A,Worms,44,3,0.2727272727272727,0.3181818181818182,-0.04545454545454547
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Analysis,677,0,0.7917282127031019,0.8183161004431314,-0.026587887740029514
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Backdoor,583,1,0.7770154373927959,0.823327615780446,-0.046312178387650116
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,DoS,4089,2,0.6803619466862314,0.7380777696258254,-0.057715822939593986
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Exploits,11132,3,0.3994789795185052,0.41573841178584264,-0.016259432267337448
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Fuzzers,6062,4,0.2259980204552953,0.2259980204552953,0.0
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Generic,18871,0,0.9857453235122675,0.9828307985798315,0.0029145249324360467
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Reconnaissance,3496,1,0.3094965675057208,0.2625858123569794,0.04691075514874138
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Shellcode,378,2,0.164021164021164,0.16137566137566137,0.0026455026455026454
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,Worms,44,3,0.3409090909090909,0.3181818181818182,0.022727272727272707
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Analysis,677,0,0.7223042836041359,0.8212703101920237,-0.09896602658788778
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Backdoor,583,1,0.8490566037735849,0.9159519725557461,-0.06689536878216118
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,DoS,4089,2,0.7830765468329665,0.81829298116899,-0.035216434336023505
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Exploits,11132,3,0.6679841897233202,0.7080488681279196,-0.040064678404599374
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Fuzzers,6062,4,0.36374133949191684,0.36374133949191684,0.0
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Generic,18871,0,0.9912034338402841,0.9933230883366011,-0.002119654496317014
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Reconnaissance,3496,1,0.5194508009153318,0.5712242562929062,-0.051773455377574384
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Shellcode,378,2,0.4603174603174603,0.5476190476190477,-0.08730158730158738
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,Worms,44,3,0.3409090909090909,0.6818181818181818,-0.3409090909090909
