combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
B_dd=none_ss=random_mm=none_af=cndids_as=pca,B_dd=none_ss=random_mm=none_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,none,cndids,pca,B,0.921658300799405,0.8813824491537476,0.9657913192550456,0.9609615410008849
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,B_dd=none_ss=random_mm=spider_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,spider,cndids,pca,B,0.9203021079923346,0.8886792452830189,0.9542585521701863,0.9618688509652522
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,B_dd=none_ss=random_mm=cndids_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,cndids,cndids,pca,B,0.9095924672649698,0.8613723441309649,0.9635315202992285,0.9638769020979358
A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,spider,none,cade_mad,A,0.8823669371148493,0.9576253679698394,0.8180755316332833,0.9695277511216531
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,none,none,none,A,0.8797591678093137,0.8258395432110713,0.9412115062207712,0.9726909785549667
A_dd=none_ss=random_mm=none_af=none_as=none,A_dd=none_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,none,random,none,none,none,A,0.869855665094435,0.803688325290839,0.94789552633901,0.970322135335322
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,none,none,A,0.8650084473481188,0.776070233234619,0.9769699108797317,0.972400585207917
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,spider,none,none,A,0.8605340100935049,0.764833016003705,0.9836098120532957,0.9713435610571954
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,none,none,A,0.8601177265270675,0.7644687639370132,0.9831245036618724,0.9717798390107474
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,none,lwf_ssf,cade_mad,A,0.8579308288610615,0.9819701967921738,0.7617135798111709,0.9654971344727374
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,none,random,spider,none,none,A,0.8565971426388571,0.7552711350623106,0.989323215388688,0.9698483494237854
