combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,n_drift_detected,f1_delta_vs_no_cl,bwt_delta_vs_no_cl
B_dd=none_ss=random_mm=spider_af=cndids_as=cade_mad,B_dd=none_ss=random_mm=spider_af=cndids_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,cndids,cade_mad,B,0.9137891255864031,0.9019965080088059,0.9258941790695863,0.9419375511671554,0.00907069002296429,0,0.49468903375903855,0.39271918275910384
B_dd=none_ss=random_mm=cndids_af=cndids_as=cade_mad,B_dd=none_ss=random_mm=cndids_af=cndids_as=cade_mad__nsl-kdd,nsl-kdd,none,random,cndids,cndids,cade_mad,B,0.9041085477556915,0.8824751446802196,0.926829268292683,0.9404763209532555,0.0006267028463507462,0,0.4850084559283269,0.3842751955824903
B_dd=none_ss=random_mm=none_af=cndids_as=cade_mad,B_dd=none_ss=random_mm=none_af=cndids_as=cade_mad__nsl-kdd,nsl-kdd,none,random,none,cndids,cade_mad,B,0.9016319129646418,0.874990835105213,0.9299462323696719,0.9351482337194152,0.01696967752969651,0,0.4825318211372773,0.40061817026583607
B_dd=none_ss=random_mm=none_af=cndids_as=pca,B_dd=none_ss=random_mm=none_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,none,cndids,pca,B,0.8877445932028837,0.9027632320953839,0.873217486168472,0.9123636521682333,-0.005787595724721956,0,0.4686445013755191,0.37786089701141756
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,B_dd=none_ss=random_mm=cndids_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,cndids,cndids,pca,B,0.8815194914605193,0.8666516075596717,0.8969064131535884,0.9192243796325259,-0.008326057069779208,0,0.46241939963315476,0.37532243566636037
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,B_dd=none_ss=random_mm=spider_af=cndids_as=pca__nsl-kdd,nsl-kdd,none,random,spider,cndids,pca,B,0.8802281368821293,0.8950463149416029,0.8658926205875477,0.9349647104713499,-0.014178988531570708,0,0.46112804505476473,0.3694695042045688
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,gpm,cade_mad,A,0.835327773077078,0.8648423160353746,0.8077612405517026,0.904434217174853,0.03009303889752763,0,0.4162276812497134,0.41374153163366717
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,random,ssf,lwf_ssf,cade_mad,A,0.7993984962406014,0.8909212794483815,0.7249279202057196,0.8647062266534751,0.009287507149758456,4,0.38029840441323687,0.392935999885898
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,lwf_ssf,cade_mad,A,0.7930462129815672,0.9022959944339529,0.7073949972726564,0.886516443342831,-0.0014349262702489031,0,0.3739461211542026,0.38221356646589066
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,random,ssf,lwf_ssf,cade_mad,A,0.7924990164794334,0.9025288729589804,0.706381983947635,0.8922949665635103,-0.0024020717595287892,0,0.37339892465206886,0.38124642097661077
