combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,n_drift_detected,f1_delta_vs_no_cl,bwt_delta_vs_no_cl
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,ssf,lwf_ssf,none,A,0.8798591723008959,0.8946756356173754,0.8655254566310774,0.9466082213887159,0.09043148988481728,0,0.04503677946409024,0.2275744421698578
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,none,A,0.8791201391616631,0.8947753181184749,0.8640033530397953,0.9545689077404136,0.07284553072394653,0,0.04429774632485739,0.20998848300898706
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,lwf_ssf,none,A,0.8746249272246854,0.8880274645325573,0.8616209300273537,0.9354662348054656,0.08768831761460028,4,0.03980253438787973,0.2248312698996408
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,spider,none,none,A,0.8654134022823149,0.7735724463907135,0.9819994705726639,0.9635934657939276,-0.08408028902386364,0,0.030591009445509187,0.053062663261176896
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,none,random,spider,none,none,A,0.8545732060744233,0.760191805307301,0.9757125209564987,0.9516112037534258,-0.09860083124703325,0,0.019750813237617626,0.038542121038007277
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A_dd=cade_ss=random_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,spider,gpm,none,A,0.8532500435144178,0.7595984986742881,0.9732418600547075,0.9516072970382543,-0.09478324503721344,0,0.018427650677612095,0.04235970724782709
A_dd=none_ss=random_mm=spider_af=gpm_as=none,A_dd=none_ss=random_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,none,random,spider,gpm,none,A,0.8502812265842116,0.745819397993311,0.9887717285802523,0.9474365389841549,-0.08964190537198025,0,0.015458833747405865,0.047501046913060285
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,none,lwf_ssf,none,A,0.8494520744604489,0.9280112923462986,0.7831553869231448,0.9543091007791888,0.021531716422805824,0,0.014629681623643198,0.15867466870784636
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,gpm,none,A,0.8462057790980286,0.751799424184261,0.9677269919703521,0.9562671182935678,-0.10033807697453626,4,0.011383386261222928,0.036804875310504276
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,none,lwf_ssf,none,A,0.8424680404502957,0.9169089398816322,0.7792067413747463,0.9505156621948431,0.02729230719177056,0,0.007645647613489959,0.1644352594768111
A_dd=none_ss=random_mm=ssf_af=gpm_as=none,A_dd=none_ss=random_mm=ssf_af=gpm_as=none__unsw-nb15,unsw-nb15,none,random,ssf,gpm,none,A,0.8409365528989957,0.763076535931265,0.936490779140563,0.9083604053649859,-0.1041892431181417,0,0.0061141600621900105,0.032953709166898826
A_dd=none_ss=random_mm=ssf_af=none_as=none,A_dd=none_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,none,random,ssf,none,none,A,0.8387730388931797,0.7386682341086573,0.9702638312891556,0.9097775408338049,-0.12755878274751659,0,0.003950646056373963,0.009584169537523946
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,none,none,A,0.8376003419940151,0.7355713880499891,0.9724918379952352,0.9100992094791921,-0.12827540008837307,4,0.002777949157209414,0.00886755219666746
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,spider,lwf_ssf,none,A,0.8367919237240604,0.9114351815747745,0.7734492190946792,0.945204538152458,0.010136727542392088,0,0.0019695308872547113,0.14727967982743262
A_dd=none_ss=random_mm=none_af=none_as=none,A_dd=none_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,none,random,none,none,none,A,0.8348223928368057,0.7521849899154311,0.9378584664254831,0.9420237608315412,-0.13714295228504053,0,0.0,0.0
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,none,none,A,0.8332279189249676,0.7454254226369762,0.9444763081267096,0.9476290768773736,-0.14442276805063226,0,-0.0015944739118380902,-0.007279815765591724
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,spider,lwf_ssf,none,A,0.8282941714983216,0.9271991911021233,0.7484558369363805,0.9518333894114883,-0.009821839790209008,0,-0.006528221338484075,0.12732111249483152
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A_dd=cade_ss=random_mm=none_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,none,gpm,none,A,0.8241363138971393,0.7396702911259208,0.9303803053030971,0.9292285105749469,-0.13690365987897066,0,-0.010686078939666444,0.00023929240606987423
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,none,none,none,A,0.8235178448530135,0.7428429529248998,0.9238507014912203,0.9293924953945805,-0.149323893825399,0,-0.011304547983792212,-0.012180941540358481
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,random,ssf,lwf_ssf,cade_mad,A,0.8225432670972832,0.9321636119803308,0.7359922350657372,0.941755626498292,0.08671423178611631,0,-0.0122791257395225,0.22385718407115685
A_dd=none_ss=random_mm=none_af=gpm_as=none,A_dd=none_ss=random_mm=none_af=gpm_as=none__unsw-nb15,unsw-nb15,none,random,none,gpm,none,A,0.8223065467082848,0.7648096846419491,0.889151151504456,0.9140246536831551,-0.13215902877347246,0,-0.012515846128520858,0.004983923511568067
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,ssf,random,ssf,lwf_ssf,cade_mad,A,0.811350420524595,0.9340343618916279,0.7171534456895791,0.9391500718179716,0.06865300145389758,4,-0.023471972312210654,0.2057959537389381
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,random,spider,lwf_ssf,cade_mad,A,0.7734835513847682,0.9490362102697328,0.6527397864643077,0.9359312575838434,0.003472175682681475,0,-0.061338841452037496,0.14061512796772202
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,random,none,lwf_ssf,cade_mad,A,0.7593278344451425,0.9636591903905535,0.6264890143827759,0.941494675111912,-0.028803130987966344,0,-0.07549455839166319,0.10833982129707419
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,ssf,random,ssf,gpm,cade_mad,A,0.7523721824078151,0.9523294705902227,0.6218124062472425,0.9269970268073525,-0.08342359686200529,4,-0.08245021042899059,0.05371935542303524
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,none,random,spider,gpm,cade_mad,A,0.7520768194246393,0.9240363905230334,0.634077472866849,0.920071010000783,0.03065394168550868,0,-0.08274557341216637,0.1677968939705492
A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,none,random,ssf,gpm,cade_mad,A,0.7335073564309444,0.9115006553079947,0.6136724609547339,0.8829643850250893,-0.09879740570999068,0,-0.10131503640586126,0.03834554657504985
A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,none,random,none,gpm,cade_mad,A,0.7306180003796403,0.9479628456829217,0.5943483631871526,0.9084785312097935,-0.0918094077007169,0,-0.1042043924571654,0.045333544584323635
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,A_dd=none_ss=random_mm=none_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,random,none,none,cade_mad,A,0.6944858828198776,0.9148007932215612,0.5596929321450631,0.9073907467830608,-0.08436428009994638,0,-0.14033651001692815,0.05277867218509415
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,A_dd=none_ss=random_mm=spider_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,random,spider,none,cade_mad,A,0.6715110915567919,0.9414971942531938,0.5218609370863849,0.9080131924829283,-0.041801903998334125,0,-0.1633113012800138,0.0953410482867064
