exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=none__sl=rand__mm=none__af=none__sc=pca,dummy,none,random,none,none,pca,0.6651,0.5455,0.8182,0.7692,0.5245,-0.0239,0.1001,0.6988,0.53
dummy__dr=none__sl=rand__mm=none__af=none__sc=mad,dummy,none,random,none,none,cade_mad,0.0521,0.75,0.033,0.0133,0.5098,-0.0221,-0.4354,0.6988,0.29
dummy__dr=none__sl=rand__mm=none__af=cnd__sc=pca,dummy,none,random,none,cndids,pca,0.6018,0.5755,0.6703,0.6,0.5352,-0.0015,0.0901,0.6988,0.83
dummy__dr=none__sl=rand__mm=none__af=cnd__sc=mad,dummy,none,random,none,cndids,cade_mad,0.0861,0.375,0.033,0.0667,0.4832,-0.0019,-0.4251,0.6988,0.29
dummy__dr=none__sl=rand__mm=none__af=gpm__sc=pca,dummy,none,random,none,gpm,pca,0.6354,0.5495,0.6703,0.6667,0.5018,0.0147,0.0636,0.6988,0.82
dummy__dr=none__sl=rand__mm=none__af=gpm__sc=mad,dummy,none,random,none,gpm,cade_mad,0.0815,0.5,0.044,0.0533,0.4953,0.0,-0.4243,0.6988,0.27
dummy__dr=none__sl=rand__mm=none__af=lwf__sc=pca,dummy,none,random,none,lwf_ssf,pca,0.5752,0.4894,0.5055,0.64,0.4327,0.0004,0.0056,0.6988,0.87
dummy__dr=none__sl=rand__mm=none__af=lwf__sc=mad,dummy,none,random,none,lwf_ssf,cade_mad,0.1152,0.2727,0.033,0.1067,0.4632,0.0122,-0.3855,0.6988,0.29
dummy__dr=none__sl=rand__mm=fifo__af=none__sc=pca,dummy,none,random,fifo,none,pca,0.6495,0.5417,0.5714,0.5867,0.4924,0.006,0.0809,0.6988,0.84
dummy__dr=none__sl=rand__mm=fifo__af=none__sc=mad,dummy,none,random,fifo,none,cade_mad,0.0537,0.2,0.011,0.0533,0.4788,0.0,-0.4443,0.6988,0.3
dummy__dr=none__sl=rand__mm=fifo__af=cnd__sc=pca,dummy,none,random,fifo,cndids,pca,0.641,0.537,0.6374,0.6667,0.4853,0.0137,0.0683,0.6988,0.88
dummy__dr=none__sl=rand__mm=fifo__af=cnd__sc=mad,dummy,none,random,fifo,cndids,cade_mad,0.1099,0.5385,0.0769,0.08,0.4985,-0.0005,-0.3706,0.6988,0.3
dummy__dr=none__sl=rand__mm=fifo__af=gpm__sc=pca,dummy,none,random,fifo,gpm,pca,0.6413,0.4865,0.5934,0.76,0.4167,-0.0032,0.0683,0.6988,0.88
dummy__dr=none__sl=rand__mm=fifo__af=gpm__sc=mad,dummy,none,random,fifo,gpm,cade_mad,0.0446,0.75,0.033,0.0133,0.5098,0.0001,-0.4454,0.6988,0.28
dummy__dr=none__sl=rand__mm=fifo__af=lwf__sc=pca,dummy,none,random,fifo,lwf_ssf,pca,0.6385,0.5678,0.7363,0.68,0.5281,-0.0166,0.1209,0.6988,0.86
dummy__dr=none__sl=rand__mm=fifo__af=lwf__sc=mad,dummy,none,random,fifo,lwf_ssf,cade_mad,0.0727,0.5714,0.044,0.04,0.502,0.0,-0.391,0.6988,0.29
dummy__dr=none__sl=rand__mm=ssf__af=none__sc=pca,dummy,none,random,ssf,none,pca,0.6032,0.5667,0.5604,0.52,0.5202,0.0185,0.0101,0.6988,0.84
